,hhidpn,r12sayret
1092,15419040,
1093,15429010,2.partly retired
1094,15431010,
1095,15436010,1.completely retired
1096,15436020,1.completely retired
1097,15440010,1.completely retired
1098,15440040,3.question irrelevant
1099,15445010,1.completely retired
1100,15445040,0.not retired
1101,15447010,1.completely retired
1102,15447020,
1103,15451010,
1104,15451040,
1105,15469010,
1106,15471010,
1107,15497010,1.completely retired
1108,15497040,2.partly retired
1109,15502010,
1110,15511010,
1111,15511040,2.partly retired
1112,15514020,1.completely retired
1113,15514030,1.completely retired
1114,15516010,1.completely retired
1115,15516020,1.completely retired
1116,15536010,1.completely retired
1117,15536011,2.partly retired
1118,15537010,0.not retired
1119,15537011,
1120,15543010,1.completely retired
1121,15543020,1.completely retired
1122,15551010,
1123,15551020,
1124,15560010,
1125,15560040,0.not retired
1126,15565020,
1127,15565030,
1128,15566020,
1129,15566030,
1130,15570010,
1131,15570040,1.completely retired
1132,15581010,1.completely retired
1133,15581011,1.completely retired
1134,15588010,
1135,15588040,1.completely retired
1136,15589010,
1137,15591010,1.completely retired
1138,15591020,
1139,15592010,
1140,15593020,1.completely retired
1141,15593030,
1142,15604010,
1143,15618010,1.completely retired
1144,15618040,
1145,15625010,1.completely retired
1146,15625020,
1147,15636010,
1148,15648020,0.not retired
1149,15648030,
1150,15657010,1.completely retired
1151,15658010,1.completely retired
1152,15659010,
1153,15659040,
1154,15662020,
1155,15676010,
1156,15676040,
1157,15698010,1.completely retired
1158,15698040,1.completely retired
1159,15707010,
1160,15707020,
1161,15708010,
1162,15709020,2.partly retired
1163,15709030,
1164,15726010,
1165,15726040,1.completely retired
1166,15730020,
1167,15730030,0.not retired
1168,15730031,
1169,15734010,
1170,15734040,
1171,15739010,
1172,15739040,
1173,15752010,
1174,15752020,1.completely retired
1175,15758010,
1176,15776010,1.completely retired
1177,15776020,1.completely retired
1178,15779010,1.completely retired
1179,15779040,0.not retired
1180,15781010,2.partly retired
1181,15784010,
1182,15784020,1.completely retired
1183,15793010,1.completely retired
1184,15793011,1.completely retired
1185,15793020,
1186,15801010,
1187,15801040,1.completely retired
1188,15833010,2.partly retired
1189,15833020,1.completely retired
1190,15834010,1.completely retired
1191,15834011,
1192,15836010,2.partly retired
1193,15836020,3.question irrelevant
1194,15840020,1.completely retired
1195,15840030,
1196,15883010,1.completely retired
1197,15883011,1.completely retired
1198,15883020,
1199,15889010,
1200,15889020,1.completely retired
1201,15893010,1.completely retired
1202,15893020,1.completely retired
1203,15897020,1.completely retired
1204,15897030,
1205,15911010,1.completely retired
1206,15911020,
1207,15911021,
1208,15911022,1.completely retired
1209,15919010,
1210,15932010,1.completely retired
1211,15932020,
1212,15935010,
1213,15935011,1.completely retired
1214,15957010,
1215,15960010,
1216,15964010,
1217,15972010,1.completely retired
1218,15973010,
1219,15973020,
1220,15977010,
1221,15977020,
1222,15981010,1.completely retired
1223,15981040,1.completely retired
1224,15982010,1.completely retired
1225,15982020,
1226,15983010,0.not retired
1227,15983020,
1228,15986010,1.completely retired
1229,15986040,
1230,15987010,
1231,15987020,
1232,15991010,
1233,15991040,
1234,15992020,1.completely retired
1235,15992030,0.not retired
1236,15995010,1.completely retired
1237,15995020,3.question irrelevant
1238,16013010,
1239,16015010,
1240,16022010,1.completely retired
1241,16022040,1.completely retired
1242,16024010,2.partly retired
1243,16024020,1.completely retired
1244,16035010,1.completely retired
1245,16035040,1.completely retired
1246,16036010,2.partly retired
1247,16036040,
1248,16042010,1.completely retired
1249,16042011,1.completely retired
1250,16042020,
1251,16043020,1.completely retired
1252,16043030,
1253,16048010,1.completely retired
1254,16048020,1.completely retired
1255,16054020,1.completely retired
1256,16054030,
1257,16062010,1.completely retired
1258,16062040,1.completely retired
1259,16064010,1.completely retired
1260,16064040,
1261,16081010,
1262,16081040,
1263,16086010,1.completely retired
1264,16086020,1.completely retired
1265,16099010,
1266,16107010,1.completely retired
1267,16116010,1.completely retired
1268,16116020,1.completely retired
1269,16119010,
1270,16119020,1.completely retired
1271,16142010,
1272,16161020,1.completely retired
1273,16161030,
1274,16162010,1.completely retired
1275,16162040,2.partly retired
1276,16174010,1.completely retired
1277,16174040,0.not retired
1278,16190010,
1279,16197010,
1280,16197020,1.completely retired
1281,16203010,
1282,16211010,2.partly retired
1283,16220010,1.completely retired
1284,16220020,
1285,16221010,1.completely retired
1286,16221040,
1287,16223010,
1288,16233010,1.completely retired
1289,16233020,1.completely retired
1290,16237020,
1291,16237030,1.completely retired
1292,16243010,
1293,16245010,1.completely retired
1294,16245040,1.completely retired
1295,16246020,
1296,16246030,
1297,16247020,
1298,16247030,1.completely retired
1299,16248010,
1300,16250010,1.completely retired
1301,16250020,
1302,16257010,
1303,16261020,
1304,16261030,
1305,16262010,
1306,16262040,
1307,16266020,
1308,16266030,
1309,16306010,1.completely retired
1310,16312010,
1311,16331010,
1312,16331011,1.completely retired
1313,16331040,
1314,16365030,
1315,16367010,
1316,16367011,
1317,16367012,
1318,16367040,
1319,16376020,1.completely retired
1320,16376030,
1321,16381010,1.completely retired
1322,16381040,1.completely retired
1323,16392010,
1324,16398010,
1325,16398020,
1326,16400010,1.completely retired
1327,16404010,2.partly retired
1328,16404020,3.question irrelevant
1329,16407010,1.completely retired
1330,16407011,1.completely retired
1331,16407020,
1332,16412010,2.partly retired
1333,16412020,2.partly retired
1334,16415010,0.not retired
1335,16415040,1.completely retired
1336,16420010,1.completely retired
1337,16420020,1.completely retired
1338,16430010,
1339,16433010,1.completely retired
1340,16433020,1.completely retired
1341,16437010,
1342,16437020,1.completely retired
1343,16439020,1.completely retired
1344,16439030,
1345,16444010,1.completely retired
1346,16444040,
1347,16449020,1.completely retired
1348,16449030,
1349,16454020,2.partly retired
1350,16454030,
