,hhidpn,r7lgmusa
1146,15625020,1.0
1147,15636010,1.0
1148,15648020,2.0
1149,15648030,1.0
1150,15657010,2.0
1151,15658010,3.0
1152,15659010,0.0
1153,15659040,0.0
1154,15662020,
1155,15676010,0.0
1156,15676040,3.0
1157,15698010,0.0
1158,15698040,3.0
1159,15707010,
1160,15707020,
1161,15708010,
1162,15709020,0.0
1163,15709030,0.0
1164,15726010,1.0
1165,15726040,4.0
1166,15730020,
1167,15730030,1.0
1168,15730031,0.0
1169,15734010,
1170,15734040,0.0
1171,15739010,1.0
1172,15739040,3.0
1173,15752010,0.0
1174,15752020,0.0
1175,15758010,1.0
1176,15776010,1.0
1177,15776020,3.0
1178,15779010,0.0
1179,15779040,3.0
1180,15781010,0.0
1181,15784010,3.0
1182,15784020,1.0
1183,15793010,0.0
1184,15793011,
1185,15793020,4.0
1186,15801010,
1187,15801040,0.0
1188,15833010,0.0
1189,15833020,0.0
1190,15834010,0.0
1191,15834011,0.0
1192,15836010,0.0
1193,15836020,4.0
1194,15840020,0.0
1195,15840030,0.0
1196,15883010,0.0
1197,15883011,0.0
1198,15883020,
1199,15889010,3.0
1200,15889020,0.0
1201,15893010,0.0
1202,15893020,0.0
1203,15897020,1.0
1204,15897030,
1205,15911010,0.0
1206,15911020,1.0
1207,15911021,0.0
1208,15911022,2.0
1209,15919010,
1210,15932010,
1211,15932020,
1212,15935010,1.0
1213,15935011,0.0
1214,15957010,
1215,15960010,2.0
1216,15964010,
1217,15972010,0.0
1218,15973010,
1219,15973020,
1220,15977010,
1221,15977020,
1222,15981010,1.0
1223,15981040,0.0
1224,15982010,0.0
1225,15982020,0.0
1226,15983010,0.0
1227,15983020,
1228,15986010,0.0
1229,15986040,3.0
1230,15987010,
1231,15987020,
1232,15991010,
1233,15991040,1.0
1234,15992020,1.0
1235,15992030,1.0
1236,15995010,0.0
1237,15995020,0.0
1238,16013010,0.0
1239,16015010,1.0
1240,16022010,0.0
1241,16022040,2.0
1242,16024010,0.0
1243,16024020,1.0
1244,16035010,0.0
1245,16035040,1.0
1246,16036010,0.0
1247,16036040,0.0
1248,16042010,1.0
1249,16042011,1.0
1250,16042020,
1251,16043020,0.0
1252,16043030,
1253,16048010,0.0
1254,16048020,0.0
1255,16054020,0.0
1256,16054030,
1257,16062010,1.0
1258,16062040,2.0
1259,16064010,3.0
1260,16064040,2.0
1261,16081010,
1262,16081040,
1263,16086010,2.0
1264,16086020,3.0
1265,16099010,
1266,16107010,0.0
1267,16116010,3.0
1268,16116020,2.0
1269,16119010,
1270,16119020,3.0
1271,16142010,1.0
1272,16161020,1.0
1273,16161030,
1274,16162010,0.0
1275,16162040,1.0
1276,16174010,0.0
1277,16174040,0.0
1278,16190010,0.0
1279,16197010,1.0
1280,16197020,0.0
1281,16203010,
1282,16211010,0.0
1283,16220010,0.0
1284,16220020,
1285,16221010,0.0
1286,16221040,
1287,16223010,
1288,16233010,0.0
1289,16233020,0.0
1290,16237020,
1291,16237030,2.0
1292,16243010,
1293,16245010,0.0
1294,16245040,0.0
1295,16246020,2.0
1296,16246030,1.0
1297,16247020,4.0
1298,16247030,3.0
1299,16248010,3.0
1300,16250010,0.0
1301,16250020,2.0
1302,16257010,
1303,16261020,
1304,16261030,
1305,16262010,
1306,16262040,
1307,16266020,
1308,16266030,
1309,16306010,1.0
1310,16312010,
1311,16331010,1.0
1312,16331011,1.0
1313,16331040,
1314,16365030,
1315,16367010,0.0
1316,16367011,0.0
1317,16367012,0.0
1318,16367040,
1319,16376020,0.0
1320,16376030,
1321,16381010,3.0
1322,16381040,2.0
1323,16392010,
1324,16398010,
1325,16398020,
1326,16400010,1.0
1327,16404010,0.0
1328,16404020,4.0
1329,16407010,1.0
1330,16407011,1.0
1331,16407020,
1332,16412010,0.0
1333,16412020,0.0
1334,16415010,2.0
1335,16415040,1.0
1336,16420010,0.0
1337,16420020,0.0
1338,16430010,1.0
1339,16433010,2.0
1340,16433020,1.0
1341,16437010,0.0
1342,16437020,3.0
1343,16439020,0.0
1344,16439030,4.0
1345,16444010,0.0
1346,16444040,0.0
1347,16449020,1.0
1348,16449030,4.0
1349,16454020,1.0
1350,16454030,4.0
1351,16457010,3.0
1352,16459010,2.0
1353,16459040,
1354,16460010,3.0
1355,16468010,0.0
1356,16468040,3.0
1357,16471010,4.0
1358,16475010,1.0
1359,16478010,0.0
1360,16481030,
1361,16484020,4.0
1362,16484030,1.0
1363,16491010,0.0
1364,16496010,3.0
1365,16496040,
1366,16498010,
1367,16498040,
1368,16500010,1.0
1369,16500020,1.0
1370,16510020,
1371,16510030,
1372,16512010,
1373,16517010,
1374,16526010,
1375,16526020,
1376,16528030,4.0
1377,16528040,2.0
1378,16536010,
1379,16541010,0.0
1380,16541011,0.0
1381,16544010,
1382,16548010,
1383,16558010,1.0
1384,16558020,1.0
1385,16566010,0.0
1386,16566020,0.0
1387,16570010,1.0
1388,16599010,3.0
1389,16602010,3.0
1390,16602020,4.0
1391,16603010,0.0
1392,16606010,0.0
1393,16612010,1.0
1394,16619010,
1395,16619020,0.0
1396,16625010,
1397,16631010,0.0
1398,16631020,1.0
1399,16643010,
1400,16643020,
1401,16648010,1.0
1402,16648020,2.0
1403,16650020,0.0
1404,16650030,0.0
1405,16659010,2.0
1406,16659040,0.0
1407,16660010,0.0
1408,16660020,1.0
1409,16663010,0.0
1410,16672010,0.0
1411,16672020,0.0
1412,16681010,3.0
1413,16698010,2.0
1414,16698020,
